NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LOG OF SALE PRICE
GREENWICHVILLAGE-WEST,14RENTALS-4-10UNIT,2A,527,88,S3,21DOWNINGSTREET,10014.0,3.0,1.0,4.0,1138.0,3636.0,1900.0,2,S3,5300000.0,2013-06-28,15.483217378522351
GREENWICHVILLAGE-WEST,14RENTALS-4-10UNIT,2A,527,88,S3,21DOWNINGSTREET,10014.0,3.0,1.0,4.0,1138.0,3636.0,1900.0,2,S3,5544000.0,2012-09-24,15.528226819851875
GREENWICHVILLAGE-WEST,14RENTALS-4-10UNIT,2A,619,50,S9,329BLEECKERSTREET,10014.0,4.0,2.0,6.0,1320.0,3705.0,1905.0,2,S9,18842000.0,2013-06-25,16.75159897859075
HARLEM-CENTRAL,01ONEFAMILYHOMES,1,1908,133,S1,273LENOXAVENUE,10027.0,1.0,1.0,2.0,1275.0,3970.0,1909.0,1,S1,1700000.0,2013-06-19,14.346138809026444
HARLEM-CENTRAL,01ONEFAMILYHOMES,1,1940,29,S1,2280ADAMCPOWELLBLVD,10030.0,1.0,1.0,2.0,1197.0,5272.0,1910.0,1,S1,990000.0,2012-11-29,13.805460222110773
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2,1735,36,C7,22545AVENUE,10037.0,16.0,2.0,18.0,3125.0,12622.0,1920.0,2,C7,3370000.0,2013-02-28,15.030423302328545
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2,1745,71,C7,1469-1471FIFTHAVENUE,10035.0,23.0,3.0,26.0,5555.0,23310.0,1921.0,2,C7,3050000.0,2013-07-03,14.930652148583594
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2B,1749,64,C7,14EAST125STREET,10035.0,8.0,2.0,10.0,4445.0,14664.0,1900.0,2,C7,1850000.0,2013-07-02,14.430696197054507
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2B,1750,25,C7,"61EAST125THSTREET,",10035.0,7.0,1.0,8.0,1682.0,6048.0,1930.0,2,C7,3150000.0,2012-12-13,14.962913010801817
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2,1829,1,C7,20908THAVENUE,10026.0,13.0,3.0,16.0,2542.0,11615.0,1900.0,2,C7,6420000.0,2012-11-19,15.674928675666145
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2,1831,43,C7,220WEST116STREET,10026.0,35.0,6.0,41.0,10647.0,46080.0,1910.0,2,C7,8800000.0,2012-08-11,15.990262279448435
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2,1907,61,C7,170WEST123RDSTREET,10027.0,13.0,2.0,15.0,3850.0,20145.0,1910.0,2,C7,3500000.0,2012-08-27,15.068273526459642
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2B,1916,30,C7,423LENOXAVENUE,10037.0,9.0,1.0,10.0,1875.0,7395.0,1910.0,2,C7,5250000.0,2013-07-29,15.473738634567807
HARLEM-CENTRAL,07RENTALS-WALKUPAPARTMENTS,2B,1918,1,C7,2261SEVENTHAVENUE,10030.0,8.0,2.0,10.0,1869.0,8845.0,1910.0,2,C7,6750000.0,2012-08-14,15.725053062848712
